SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
202452,0,0.0,0.0,1,0.0,13553,24.3571,91.733,0,0,0,71.5897714285714,43.9789571428571,27.7502,32.9836857142857,513
202451,0,0.0,0.0,1,0.0,13553,24.0986428571429,93.5742428571428,0,0,0,75.4423428571429,50.6179571428571,27.3622142857143,32.0601285714286,513
202450,0,0.0,0.0,1,0.0,13553,23.9629,91.1758857142857,0,0,0,75.5436,52.2098714285714,26.8141571428571,31.1404142857143,513
202449,0,0.0,0.0,1,0.0,13553,23.7487571428571,92.3933428571429,0,0,0,75.6642285714286,52.2539714285714,26.6839285714286,31.0709857142857,513
202448,0,0.0,0.0,1,0.0,13553,24.1170285714286,89.5794285714286,0,0,0,68.4194857142857,39.1265571428571,27.6512142857143,32.9967285714286,513
202447,1,0.7282469,7.3784404,1,2.1857903,13553,24.1959285714286,89.2268428571429,1,0,0,69.0275285714286,40.8342285714286,27.6330428571429,33.0716,513
202446,0,0.0,0.0,1,0.0,13553,23.5634142857143,87.8809285714286,0,0,0,67.3942714285714,39.1646857142857,27.2885571428571,32.977,513
202445,1,0.78220326,7.3784404,1,2.8217936,13553,23.8496428571429,85.9172714285714,0,0,0,67.3937714285714,40.0796142857143,27.2495,32.5417714285714,513
202444,0,0.0,0.0,1,0.0,13553,23.6011571428571,87.8170571428571,0,0,0,68.6946857142857,41.2364571428571,27.0736857142857,32.5725857142857,513
202443,0,0.0,0.0,1,0.0,13553,23.6303285714286,85.8343571428571,0,0,0,67.9377142857143,41.7537571428571,26.7947428571429,31.8049285714286,513
202442,1,0.60827744,7.3784404,1,1.394314,13553,23.9259571428571,87.3622,1,0,0,68.1160571428571,41.7534571428571,27.2605142857143,32.4834428571429,513
202441,1,0.673391,7.3784404,1,1.7528985,13553,23.3732,89.2514428571429,1,0,0,68.7611857142857,39.8112857142857,26.9048285714286,32.4968571428571,513
202440,1,0.39986843,7.3784404,1,0.7561993,13553,23.4832142857143,85.4046714285714,0,0,0,66.4170714285714,38.6843857142857,27.1917142857143,33.0079571428571,513
202439,0,0.0,0.0,1,0.0,13553,23.1882285714286,84.6315857142857,0,0,0,65.5301571428571,36.3207857142857,27.0276,33.004,513
202438,0,0.0,0.0,1,0.0,13553,22.6289142857143,82.2186,0,0,0,62.0822142857143,31.6430857142857,27.1127285714286,33.6279,513
202437,5,0.9561841,36.8922,1,4.127923,13553,22.6277285714286,79.7973714285714,0,0,0,61.1710857142857,31.6227857142857,26.9687142857143,33.2832,513
202436,1,0.50312805,7.3784404,1,1.0090792,13553,21.8594285714286,82.9257428571429,0,0,0,61.8951428571429,32.9822142857143,26.5587142857143,32.8296571428571,513
202435,1,0.52066445,7.3784404,1,1.0620512,13553,22.0199571428571,81.5743571428571,0,0,0,60.7066428571429,30.7500714285714,26.7984571428571,33.2807714285714,513
202434,1,0.5914132,7.3784404,1,1.3196763,13553,22.1441857142857,84.4330142857143,0,0,0,64.4619285714286,35.8396857142857,26.5797714285714,32.4853428571429,513
202433,1,0.63896906,7.3784404,1,1.5475516,13553,22.1269428571429,86.3920714285714,0,0,0,65.4789714285714,35.5349714285714,26.3956142857143,32.4185714285714,513
202432,1,0.5191638,7.3784404,1,1.0573748,13553,21.7050428571429,83.4034857142857,0,0,0,63.1523857142857,35.2308428571429,26.3934714285714,32.1683142857143,513
202431,0,0.0,0.0,1,0.0,13553,22.3017857142857,86.9180285714286,0,0,0,64.8869285714286,36.9787142857143,26.5280714285714,32.0336285714286,513
202430,1,0.49247578,7.3784404,1,0.97859293,13553,21.2479857142857,81.4478714285714,0,0,0,62.0332428571429,36.3412,26.0279571428571,31.6623285714286,513
202429,2,0.7754118,14.756881,1,2.2075047,13553,21.5935285714286,83.2847857142857,0,0,0,63.5246571428571,36.8894142857143,25.9753428571429,31.5002428571429,513
202428,0,0.0,0.0,1,0.0,13553,22.1169,93.0224428571428,0,0,0,75.0835571428571,49.8707571428571,25.5439,30.1528714285714,513
202427,2,0.9661878,14.756881,1,12.347743,13553,22.1265285714286,92.9150857142857,1,0,0,75.6242428571429,49.8551285714286,25.6578714285714,29.9320285714286,513
202426,0,0.0,0.0,1,0.0,13553,21.9934142857143,96.0932571428571,0,0,0,79.9533714285714,53.7658714285714,25.3703142857143,29.9682142857143,513
202425,0,0.0,0.0,1,0.0,13553,22.0311285714286,93.7050142857143,0,0,0,80.3447,60.4104857142857,25.0303571428571,28.6351142857143,513
202424,0,0.0,0.0,1,0.0,13553,22.5380571428571,94.0090428571429,0,0,0,80.2106142857143,59.8879,25.6898285714286,29.4549285714286,513
202423,1,0.85816896,7.3784404,1,4.5317287,13553,23.1122714285714,94.9842857142857,1,0,0,83.0819571428571,66.0553142857143,25.8291428571429,28.9559,513
202422,0,0.0,0.0,1,0.0,13553,23.0714,96.2427714285714,0,0,0,84.5834428571429,66.0168285714286,25.3981285714286,28.6164142857143,513
202421,0,0.0,0.0,1,0.0,13553,23.5795,95.2317857142857,0,0,0,81.4310285714286,60.6893142857143,26.1973857142857,29.7557,513
202420,0,0.0,0.0,1,0.0,13553,23.5771428571429,96.4428,0,0,0,85.7379428571429,67.6266428571429,26.1800857142857,29.6333285714286,513
202419,3,0.74787,22.13532,2,1.7747958,13553,23.8090428571429,96.0778857142857,1,0,0,80.2072,57.1507857142857,26.9107714285714,30.8663571428571,513
202418,1,0.3804451,7.3784404,2,0.71723676,13553,23.5455428571429,97.3016,1,0,0,84.7718714285714,68.2836571428572,26.1986714285714,29.3710285714286,513
202417,2,0.78031445,14.756881,1,2.25254,13553,23.4261142857143,97.7223285714286,1,0,0,84.7449428571429,65.8760857142857,26.1292428571429,29.5302,513
202416,2,0.81784153,14.756881,1,2.6701245,13553,23.7556142857143,97.7805428571429,1,0,0,87.8375,73.9470142857143,26.2942428571429,29.6004,513
202415,0,0.0,0.0,1,0.0,13553,23.6891714285714,98.0470142857143,0,0,0,89.0508285714286,71.6597857142857,25.9561714285714,29.5283428571429,513
202414,1,0.7846074,7.3784404,1,2.857493,13553,23.3606142857143,98.3532,1,0,0,87.5511714285714,72.0739857142857,25.9069,29.2200571428571,513
202413,1,0.81430256,7.3784404,1,3.3742383,13553,23.5759428571429,97.1123142857143,1,0,0,88.7435571428571,76.7583142857143,25.7138,28.4934857142857,513
