SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
202452,0,0.0,0.0,1,0.0,25813,23.745,92.7509571428571,0,0,0,71.3083857142857,42.6169857142857,27.2872714285714,32.7641428571429,427
202451,0,0.0,0.0,1,0.0,25813,23.5138571428571,94.5493,0,0,0,75.1759142857143,49.4441142857143,26.9065428571429,31.7577857142857,427
202450,0,0.0,0.0,1,0.0,25813,23.3879571428571,91.9788714285714,0,0,0,75.3309142857143,51.1585142857143,26.3558714285714,30.9370142857143,427
202449,0,0.0,0.0,1,0.0,25813,23.1561142857143,93.3021285714286,0,0,0,75.8185714285714,51.4341142857143,26.1686857142857,30.7049857142857,427
202448,0,0.0,0.0,1,0.0,25813,23.4835714285714,90.8390142857143,0,0,0,68.3117142857143,37.5152857142857,27.2129714285714,32.9145142857143,427
202447,0,0.0,0.0,1,0.0,25813,23.5799,90.3260142857143,0,0,0,68.8275142857143,39.2900571428571,27.2108428571429,32.9499571428571,427
202446,1,0.8856027,3.874017,1,5.705533,25813,22.9333,89.1297285714286,1,0,0,67.2733,38.2163857142857,26.8627714285714,32.7474428571429,427
202445,0,0.0,0.0,1,0.0,25813,23.2230857142857,87.0928142857143,0,0,0,67.2069714285714,38.6365857142857,26.8140142857143,32.4078714285714,427
202444,0,0.0,0.0,1,0.0,25813,22.9852571428571,88.907,0,0,0,68.5267142857143,39.2805714285714,26.6693857142857,32.5638142857143,427
202443,0,0.0,0.0,1,0.0,25813,22.973,87.3853285714286,0,0,0,68.1181857142857,40.5061285714286,26.3041142857143,31.6502142857143,427
202442,2,0.761999,7.748034,1,2.0929685,25813,23.2743142857143,88.7889285714286,1,0,0,68.0997857142857,40.7041428571429,26.8223428571429,32.2874714285714,427
202441,3,0.90406066,11.622051,1,3.6502392,25813,22.7639857142857,90.3972714285714,1,0,0,68.6282,38.4403142857143,26.4930571428571,32.4441857142857,427
202440,0,0.0,0.0,1,0.0,25813,22.8723285714286,86.4446,0,0,0,66.3514285714286,36.7521857142857,26.7790285714286,33.0741285714286,427
202439,0,0.0,0.0,1,0.0,25813,22.5789,85.9956857142857,0,0,0,65.3616285714286,35.163,26.6203285714286,33.0613285714286,427
202438,2,0.21380332,7.748034,1,0.53348416,25813,22.0141428571429,83.2832428571429,0,0,0,61.8486571428571,29.5492571428571,26.6613428571429,33.6015571428571,427
202437,3,0.16038515,11.622051,1,0.5195741,25813,21.9745428571429,80.8014428571429,0,0,0,61.0925142857143,30.0694428571429,26.4396714285714,33.0480857142857,427
202436,3,0.029682778,11.622051,1,0.32658306,25813,21.1689428571429,84.6737142857143,0,0,0,61.9294428571429,31.6601,26.047,32.6055285714286,427
202435,5,0.04005201,19.370085,1,0.4199998,25813,21.3620714285714,83.2894428571429,0,0,1,60.8042714285714,29.9728714285714,26.2716714285714,32.9206857142857,427
202434,8,0.14689407,30.992136,1,0.63223594,25813,21.4362285714286,86.1628428571429,0,0,1,64.5413714285714,34.5734714285714,26.0373,32.1681714285714,427
202433,17,0.7298344,65.85829,1,1.2445983,25813,21.4741285714286,88.2202428571429,1,0,2,65.4941571428571,34.5971571428571,25.8956571428571,32.1115,427
202432,8,0.10194132,30.992136,1,0.5806066,25813,21.0539,85.2029714285714,0,0,1,63.4232285714286,34.3478571428571,25.8358571428571,31.7754142857143,427
202431,17,0.67015827,65.85829,4,1.1675806,25813,21.5699714285714,89.3615857142857,1,0,2,65.2416857142857,36.8461571428571,25.9171571428571,31.4541,427
202430,14,0.27653402,54.236237,1,0.810666,25813,20.5596142857143,84.4014857142857,0,0,2,62.6586,36.5984285714286,25.3510571428571,30.9887428571429,427
202429,10,0.07946315,38.74017,1,0.58183616,25813,20.9419428571429,85.2796571428571,0,0,2,64.0923571428571,37.4716,25.2946285714286,30.7483714285714,427
202428,21,0.90998495,81.354355,4,1.5812478,25813,21.4813428571429,94.1656571428571,1,0,2,75.3999428571428,49.8127857142857,24.9444857142857,29.5579428571429,427
202427,21,0.98153734,81.354355,4,2.158129,25813,21.5561571428571,94.3560142857143,1,1,2,76.0717142857143,50.1120571428571,25.0530428571429,29.2983,427
202426,11,0.8227527,42.614185,2,1.5362504,25813,21.3712571428571,97.1938571428571,1,0,2,80.2843,53.8564571428571,24.7954428571429,29.3990142857143,427
202425,9,0.90887505,34.866154,2,2.0752516,25813,21.3691857142857,94.9791142857143,1,0,1,80.8026285714286,60.7466571428571,24.4178,28.0295857142857,427
202424,9,0.97253984,34.866154,2,3.194063,25813,21.9135142857143,95.5700142857143,1,1,1,80.7483428571429,60.0586571428571,25.0704428571429,28.8614857142857,427
202423,3,0.4541471,11.622051,2,0.91752815,25813,22.4674285714286,95.9363571428571,1,0,0,83.4819571428571,66.0298285714286,25.2428571428571,28.4051428571429,427
202422,1,0.0528543,3.874017,2,0.23574701,25813,22.4839571428571,96.9856714285714,1,0,0,84.9395428571429,66.0768857142857,24.8464714285714,28.1317142857143,427
202421,4,0.32333368,15.496068,2,0.74959093,25813,22.9502571428571,96.1621857142857,1,0,0,81.7066142857143,60.4753714285714,25.6147142857143,29.2464142857143,427
202420,4,0.20452425,15.496068,2,0.6094388,25813,23.0036714285714,96.9257857142857,1,0,0,85.9164857142857,67.4478428571429,25.6482714285714,29.1436857142857,427
202419,5,0.2533878,19.370085,2,0.6909225,25813,23.1899428571429,96.9197857142857,1,0,1,80.3873857142857,57.2438571428571,26.3415142857143,30.3143714285714,427
202418,7,0.50704676,27.118118,2,1.0092256,25813,23.0039,97.6687857142857,1,0,1,84.8432714285714,68.0583142857143,25.6802285714286,28.8675,427
202417,8,0.7326218,30.992136,2,1.3862243,25813,22.9598857142857,97.8024285714286,1,0,1,84.8521857142857,65.5756428571429,25.6105,29.0564,427
202416,7,0.7386292,27.118118,2,1.4343812,25813,23.2869571428571,97.9360285714286,1,0,1,88.0064142857143,73.5321428571429,25.7967,29.1253142857143,427
202415,7,0.62113494,27.118118,2,1.1810241,25813,23.1844714285714,98.3774714285714,1,0,1,89.6275285714286,72.0788571428571,25.4279428571429,29.0397571428571,427
202414,2,0.035935085,7.748034,2,0.28725982,25813,22.8662,98.5234,1,0,0,87.9695,71.9277428571429,25.3802428571429,28.7198714285714,427
202413,6,0.4489541,23.244102,2,0.93204916,25813,23.0892714285714,97.5993571428571,1,0,1,89.1140428571429,76.8754,25.2086,28.0300428571429,427
202412,10,0.8857722,38.74017,2,1.8402289,25813,23.4361714285714,97.4412714285714,1,0,2,87.1732142857143,70.7583571428571,25.8687142857143,29.3595857142857,427
